stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,4,1,0,1,0,0,0,0,9,4,27,1,0,0,0,2,0,5,7,0,1
 24-34,0,0.82,0.82,3.28,0,0.82,0,0,0.82,0,5.75,4.1,14.78,0,0,0,0,0,0,0.82,3.28,0,1.64
 36-46,0,0,0,1.61,0,3.22,0,0,0,0,4.83,0,12.09,0,0,0,0.81,0,0,0,1.61,0,0
 48-58,0,0,0,1.15,0.57,1.72,0,0,0,0,4.02,1.15,6.89,0,0.57,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,11.78,0,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,1.96,0,0,0,0,7.85,1.96,6.87,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,4.25,0,1.06,0,0,0,0,7.43,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,1.09,0,0,0,0,5.46,1.09,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0.77,0,1.53,0,0.77,0,0,0,0.77,3.06,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,3.92,0,7.84,0,0,0,0,0,0,0,0,0,0
