stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,1,1,0,0,0,1,2,0,0,0,3,0,1,19,0,0,1,0,1,3,2,0,2,6,0,0,0
 24-34,0,0,0,0.82,0,5.75,0,0,0,0,0,0.82,0.82,0,2.46,0,3.28,16.42,0,0.82,0.82,0,0,0,0,0,1.64,6.57,0,1.64,0
 36-46,0,0,0,0.81,0.81,8.06,0.81,0,0,2.42,0,0,0,0,3.22,0,0.81,17.72,0,0,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,7.46,0,0,0.57,1.15,0,0,0,0,4.02,0,1.72,18.94,0.57,0.57,0,0,0,0,0,0.57,0,2.3,0,1.15,0
 60-70,0,0,0,0.98,0,12.76,0,0,0.98,2.94,0,0,0,0,3.93,1.96,0,15.7,0,0,0.98,0,0.98,0,0,0,0,2.94,0,0.98,0
 72-82,0,0,0,0,0,10.8,0,0,0.98,3.93,0,0,0,0,6.87,0,0.98,18.65,0,0,0,0,0,0,0,0,0,4.91,0.98,2.94,0
 84-94,0,0,0,5.31,0,3.19,1.06,0,0,4.25,0,0,0,1.06,7.43,0,3.19,8.5,0,0,2.12,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,4.37,0,0,0,2.19,1.09,0,0,0,5.46,1.09,0,15.3,0,0,1.09,0,0,0,0,0,0,2.19,0,2.19,1.09
108-118,0,0,0,0,0,3.06,0,0.77,0,1.53,0,0.77,0,0,5.36,0,0,3.83,0,0,0,0,0,0,0,0.77,0,1.53,0,0.77,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,17.64,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0
