stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,1.64,4.1,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,1.61,4.03,0,1.61,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,0,0,1.72,0.57,0.57,0,1.15,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,3.93,0,5.89,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,5.89,0,8.83,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,0,4.25,0,1.06,2.12,1.06,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,9.84,0,12.02,0,1.09,0,2.19,1.09,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,2.3,1.53,0,3.06,0,2.3,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,5.88,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0
