stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,2,1,8,9,0,0,0,0
 24-34,0,2.46,1.64,1.64,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0.82,9.03,0,0.82,0,0,0.82,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,5.64,0,13.7,0.81,0,0,0.81,2.42,0,0,0,5.64,0,0.81,0,0
 48-58,0,0.57,0,1.72,0,0.57,1.15,1.15,0.57,1.15,0.57,0,0,0,0,0.57,0,8.03,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,8.83,0,0,0,1.96,0,0,0,0,0,0,0,2.94,0,10.8,0.98,0,0,0,0.98,0,0,0,2.94,0.98,0,0.98,0
 72-82,0,0,0,9.82,0,0,0,1.96,0,0,0,0,0,0,0,5.89,0,5.89,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98
 84-94,0,1.06,1.06,0,0,0,1.06,1.06,0,0,0,0,0,0,0,4.25,0,3.19,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,0,1.09,1.09,0,3.28,0,4.37,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,2.3,0.77,2.3,0,0.77,0.77,0.77,0,0,0,0.77,0,0,0.77,4.6,0,4.6,0,0,0,0,2.3,0,0,0,0,0,0.77,0,0
120,0,0,0,3.92,0,1.96,0,0,0,0,0,0,1.96,0,0,3.92,0,9.8,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
