stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,68,0,0,0,0,0,0,0,0,55,0,0,0,0
 24-34,0,0,2.46,0,3.28,0,0,10.67,0,0,0,0,0,0,0,6.57,0,0,3.28,620.57,0,0.82,0,0,1.64,0,0,0.82,241.33,0,0,0,0
 36-46,0,0,1.61,0,5.64,0,0.81,22.56,0,0,0,0,0,0,0,11.28,0.81,3.22,4.03,1124.71,0,2.42,0,0,0.81,0,0.81,0,335.16,0,0,0,0
 48-58,0,0,2.3,0,25.82,1.15,0.57,35.58,0,0,0,0,0,0,0,16.07,0,2.3,4.59,1099.98,0,2.87,0,0,0,0,0,0,304.69,0.57,0,0,0.57
 60-70,0,0.98,0.98,0,19.63,0,0,37.3,0,0,0,0,0,0,0,46.13,0,1.96,4.91,1336.83,0,0.98,0,0,0,0.98,0,0,185.51,2.94,0,1.96,0
 72-82,0,0.98,1.96,2.94,41.23,0,0,31.41,0,0,0,0,0.98,0,1.96,53.01,0,0.98,3.93,1242.78,0,2.94,0,2.94,0,0,0,0,79.51,3.93,0.98,1.96,0
 84-94,0,1.06,2.12,0,58.41,0,0,25.49,0,0,2.12,0,0,1.06,0,24.43,0,1.06,4.25,491.72,0,4.25,0,0,1.06,0,0,0,41.42,5.31,0,3.19,0
 96-106,0,0,5.46,0,15.3,0,0,15.3,0,0,1.09,0,0,0,0,9.84,0,4.37,1.09,395.61,0,5.46,0,1.09,0,0,0,0,14.21,1.09,0,4.37,1.09
108-118,0,0,0.77,0,13.79,0.77,0.77,16.85,0,0,0.77,0.77,1.53,0,0,13.02,0,0,0,374.56,0,4.6,0,1.53,0,0,0,0,9.19,0,0.77,2.3,0
120,0,0,7.84,0,7.84,0,1.96,15.68,3.92,0,11.76,1.96,0,0,0,9.8,0,0,1.96,646.73,0,1.96,0,1.96,0,0,0,0,11.76,0,1.96,1.96,0
