stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,852.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,10.51,0,23.66,0,0,23.66,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,373.28,23.66,0,0,134.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,160.5,9.44,0,0,56.65,0,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,9,2,7,0,0,0,2,3,0,0,0,0,0,0,0,1,9,0,7,128,0,0,1,2,0,0,3,14,0,0,26,36,1,0,0
 24-34,0,0,0,1.64,2.46,0,7.39,0,0,0.82,1.64,1.64,0,0,0,0,0,0,0,0,1.64,0,2.46,218.35,0,0,4.1,0,0,0,0,0,1.64,0,1.64,33.66,0,0,0
 36-46,0,0,0,0,0.81,0,23.36,0,0,1.61,4.03,0,0,0.81,0,0,0,0,0,0,3.22,0,0.81,415.73,0,0,0,0,0,0,0,0,0.81,0,0,65.26,0.81,0,0.81
 48-58,0,0.57,0,0,0,0,41.89,0,0,0,9.75,0.57,0,0.57,0.57,0,0,0,0,0.57,10.33,0,2.3,286.33,0,0,1.15,0,0,0.57,0,0,0,0,0,37.3,0.57,0,0
 60-70,0,0,0,0,0,0,171.77,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,3.93,0.98,0.98,283.66,0,0,1.96,0,0,0,0,0,0,0,0,24.54,0,0,0.98
 72-82,0,0,0,0,4.91,0,687.16,0,0.98,0.98,22.58,0.98,0,0.98,1.96,0.98,1.96,0.98,0,0.98,21.6,0.98,1.96,321.99,0,0,1.96,0,0.98,4.91,0,0,0.98,0,0,37.3,2.94,0.98,0.98
 84-94,0,0,0,0,5.31,3.19,723.25,1.06,2.12,2.12,8.5,1.06,0,0,8.5,0,0,1.06,0,0,5.31,0,2.12,144.44,1.06,0,1.06,0,0,3.19,0,0,0,0,0,25.49,1.06,0,0
 96-106,0,0,0,0,3.28,2.19,604.34,1.09,2.19,1.09,10.93,0,0,1.09,2.19,0,1.09,0,0,0,13.11,2.19,2.19,77.59,0,0,1.09,0,0,0,0,0,2.19,1.09,0,6.56,1.09,0,3.28
108-118,0,0,0.77,0,4.6,0.77,463.41,0,1.53,0,6.89,0,0,0,1.53,0.77,2.3,0,0.77,0,15.32,0,0.77,115.66,0.77,3.06,0.77,0,0,1.53,0,0,0.77,0,0,7.66,1.53,0,0
120,0,0,0,0,1.96,0,523.26,0,0,0,7.84,0,0,1.96,11.76,0,0,0,0,0,3.92,0,0,107.79,0,0,0,0,0,1.96,0,0,3.92,0,0,3.92,3.92,0,0
