stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0
 14-21,0,1,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0.81,0
 48-58,0,0,0,0.57,0,0,3.44,0,1.15,0
 60-70,0,0,0,0.98,0.98,0.98,1.96,0,0,0
 72-82,0,0,0.98,2.94,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,3.92,1.96,0,0
