stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,2,0,0,0,0,6,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,109.99,0,5.75,0,0,0,0,42.68,0,0,0,0
 36-46,0,0,0,0,4.03,0,0.81,0,0,0,0,0,0.81,0,0.81,414.92,0,11.28,0,0,0,0,61.23,0,0,0,0
 48-58,0,2.87,0,0,56.23,0,4.02,0,0,0,0,0,3.44,0,0,509.54,0,6.31,0,0,0,0,80.91,0,0,0.57,1.15
 60-70,0,1.96,0,0,170.78,0,4.91,0,0,0,0,0,1.96,0.98,2.94,756.75,0,10.8,0,0.98,1.96,0.98,90.3,0,0,0.98,0
 72-82,0,0.98,3.93,0,229.71,0.98,6.87,0,0,0,0,0,6.87,0.98,0,596.85,0,14.72,0,0,1.96,0,68.72,0,0,1.96,0
 84-94,0,5.31,1.06,0,122.13,0,9.56,1.06,1.06,0,0,0,3.19,1.06,0,261.26,0,4.25,0,0,0,0,32.92,0,1.06,0,0
 96-106,0,2.19,0,1.09,81.96,0,7.65,1.09,0,1.09,1.09,1.09,6.56,1.09,1.09,226.22,0,6.56,0,0,4.37,0,20.76,0,0,0,0
108-118,0,1.53,0,0,68.94,0,9.19,0,0,0.77,0,0,2.3,0,0.77,242.04,0,9.19,0.77,0,0.77,0,9.96,0.77,0,0.77,0
120,0,3.92,0,0,74.47,0,15.68,0,0,0,0,0,11.76,1.96,1.96,278.29,0,11.76,0,0,3.92,0,15.68,0,0,0,0
