stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1054.23,16419.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.54,0,0,0,0,0,0,0,0,0,0,0
  5-6,1232.06,14183.98,18.39,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,380.04,42.91,0,0,110.33,0,214.54,0,0,0,0,0,0,0,0,0,0,0
  7-9,149.84,262.87,428.48,0,0,0,812.27,0,0,0,0,0,249.73,0,0,0,0,0,0,0,0,0,0,7838.82,184.01,0,0,3072.97,0,13.14,65.72,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,188.82,261.2,0,18.88,0,563.31,0,0,0,0,0,66.09,0,0,0,0,0,3.15,0,0,0,0,4519.05,62.94,0,0,1863.01,0,12.59,56.65,9.44,191.97,0,9.44,12.59,0,0,0,0,0
 14-21,0,0,21,213,91,0,155,0,0,0,45,8,2,0,2,8,1,0,0,142,0,0,116,2044,76,13,16,72,0,64,12,235,14,1,154,689,0,0,5,0,0
 24-34,0,0,4.1,55.82,16.42,0,398.94,0,0,0,54.18,0.82,0,2.46,7.39,4.93,2.46,3.28,1.64,275.81,1.64,2.46,105.07,2230.27,10.67,13.95,26.27,0,0,96.04,0.82,0.82,3.28,0.82,12.31,530.27,0,0,34.48,0,4.93
 36-46,0,0,0,27.39,8.86,0,705.77,1.61,1.61,0,35.45,0,0,1.61,10.47,0,2.42,4.03,1.61,199,0,4.03,63.65,1275.37,8.06,12.89,8.06,0,0,37.87,0,0.81,3.22,0,0,347.24,0,0,17.72,0,3.22
 48-58,0,0,0,29.26,3.44,0,745.37,0,0.57,2.87,44.76,2.3,0,4.02,9.18,1.15,4.02,2.87,1.15,225.51,0.57,13.77,55.09,622,4.02,5.16,4.02,0,0,19.51,0.57,0,0.57,0,0,111.89,0,0,21.23,0.57,2.87
 60-70,0.98,0,0,34.35,1.96,0,506.47,0.98,0.98,0,52.02,4.91,0,1.96,10.8,0,3.93,4.91,0.98,154.1,0,12.76,20.61,333.72,0.98,0,5.89,0,0,13.74,0,0,0,0,0,22.58,0.98,0,15.7,0.98,0
 72-82,0,0,0,49.08,5.89,0,222.84,1.96,0,1.96,74.61,6.87,0,4.91,8.83,7.85,2.94,3.93,0.98,175.72,0.98,12.76,46.14,302.35,1.96,4.91,4.91,0,0.98,6.87,0,0,0.98,0,0,10.8,0.98,0.98,18.65,0,0.98
 84-94,0,0,0,38.23,5.31,2.12,174.17,0,0,1.06,40.36,11.68,0,1.06,13.81,4.25,6.37,2.12,1.06,133.82,0,14.87,28.68,195.41,3.19,2.12,10.62,0,0,9.56,0,0,3.19,0,0,6.37,4.25,0,22.3,0,1.06
 96-106,0,0,0,41.53,6.56,1.09,108.19,2.19,0,2.19,50.27,10.93,0,6.56,24.04,1.09,1.09,1.09,1.09,78.68,1.09,5.46,17.49,186.88,2.19,4.37,8.74,0,0,7.65,0,0,4.37,0,0,3.28,0,0,20.76,0,2.19
108-118,0,0,0,30.64,9.19,1.53,110.3,0,0,1.53,39.06,8.43,0,0,21.45,0.77,3.06,1.53,4.6,54.38,0,7.66,24.51,202.98,1.53,7.66,5.36,0,0,12.26,0,0,5.36,0,0,2.3,5.36,0,13.79,0,0.77
120,0,0,0,7.84,25.48,0,123.47,0,1.96,0,50.95,5.88,0,0,19.6,1.96,1.96,0,3.92,50.95,0,0,17.64,154.82,0,1.96,1.96,0,0,9.8,0,0,0,0,0,1.96,0,0,13.72,0,0
