stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,2,0,0,0,0,16,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,44.33,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,44.31,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,60.82,0,1.15,0,0,0,0,0.57,0
 60-70,0.98,0,0,0,0,0,58.89,0.98,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,76.57,0.98,1.96,0,0.98,0,0.98,0,0
 84-94,0,1.06,0,0,0,1.06,108.33,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,3.28,0,1.09,155.18,0,3.28,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0,0.77,130.21,0.77,2.3,0,0,0,0,0,0
120,0,0,0,3.92,0,1.96,101.91,0,1.96,0,0,0,0,0,0
