stage,axial,blastomeres,endocrine_pancreas,eye,fin_epithelia,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,566.65,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,196.15,0,0,0,6.13,0,0,12.26,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,5.26,0,0,47.32,2.63,7.89,0,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,22.03,3.15,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09
