stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,71,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0
 24-34,0,0,0,0,0,0,6.57,0,0.82,0,0.82,0.82,0,0.82,0,0,0,0,7.39,0,0,0,304.54,0,7.39,0,0,0,0.82,0,0,0,64.85,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0,0,16.11,0,0,1.61,0,0,0,0,0,0,0,0,6.45,0,0,1.61,594.58,0,4.83,0,0,0,0.81,0,0,0,124.88,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,52.79,0,0,5.74,0,0,0,0,0,0,0.57,0.57,10.9,0,0,0.57,717.26,0,0.57,0.57,0,0,2.87,0,0.57,0,113.61,0,0,0.57,0,0.57
 60-70,0,0,0.98,0.98,0,0,148.21,0.98,0.98,9.82,0,0,0,0,0,0,0,0,12.76,0,1.96,2.94,1164.09,0,4.91,0,0,0.98,1.96,0,0,0,133.49,0,0,3.93,0,0.98
 72-82,0,0,0,4.91,1.96,0,146.27,0,0,28.47,0,0,1.96,0,0,0.98,0,0,20.61,0.98,0.98,1.96,903.13,0,4.91,0,0,0,0.98,0,0,0,80.5,0,0,1.96,0.98,0
 84-94,0,0,2.12,4.25,0,0,110.45,1.06,3.19,14.87,0,1.06,1.06,0,0,0,0,0,22.3,0,1.06,1.06,473.67,0,2.12,0,0,0,2.12,0,0,0,39.3,0,0,0,0,0
 96-106,0,0,1.09,2.19,3.28,0,80.87,0,1.09,17.49,0,0,0,0,1.09,1.09,0,0,24.04,0,0,3.28,369.38,0,5.46,0,0,0,4.37,1.09,0,0,14.21,0,1.09,1.09,0,0
108-118,0,0,0,1.53,1.53,0.77,58.21,0,2.3,19.92,0.77,0,0,0.77,1.53,0.77,0,0,20.68,0,0,2.3,425.88,0,0.77,0,0,0,0.77,0,0,0.77,15.32,0.77,0,0,0.77,0
120,0,0,0,7.84,1.96,0,52.91,0,0,21.56,0,0,1.96,0,0,0,0,0,15.68,0,0,0,533.06,0,3.92,0,0,0,1.96,0,0,0,9.8,0,0,1.96,0,0
