stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,1,0,0,1,8,0,0,1,0,5,1,4,2
 24-34,0,0,0.82,0,0.82,0,1.64,1.64,3.28,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,1.61,0,8.06,0.81,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,1.06,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,0,0.77,0,0,0,0,0,0,0,0
