stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,250.38,5337.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0
  5-6,337.13,5859.93,18.39,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,128.72,12.26,0,0,73.56,0,98.07,0,0,0,0,0,0,0,0,0
  7-9,94.63,144.58,191.9,0,0,375.91,0,0,0,0,0,162.98,0,0,0,0,0,0,0,0,0,0,0,4284.8,105.15,0,0,1537.8,0,7.89,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,103.85,116.44,0,12.59,280.08,0,0,0,0,0,37.76,0,0,0,0,0,3.15,0,0,0,0,0,2781.92,59.79,0,0,947.24,0,0,6.29,0,100.7,0,6.29,0,0,0,0
 14-21,0,0,7,49,12,48,0,0,0,16,1,2,0,0,5,0,0,0,0,36,0,0,21,667,14,4,5,7,0,12,0,26,2,30,184,0,0,0,0
 24-34,0,0,0.82,21.34,7.39,299.61,0,1.64,2.46,17.24,0.82,0,3.28,0.82,4.1,0,1.64,0,0,105.07,1.64,0,40.22,1063.83,3.28,9.03,7.39,0,0.82,21.34,0,0,2.46,3.28,221.63,0,13.95,0,0.82
 36-46,0,0,0,9.67,1.61,584.11,0,0,0,17.72,0,0,0,0.81,1.61,0,0.81,0.81,0.81,99.1,0,1.61,25.78,659.84,0,3.22,5.64,0,0,4.83,0,0.81,0.81,0,149.05,0,6.45,0,0.81
 48-58,0,0,0,8.03,0.57,421.75,1.15,0,1.72,18.94,1.15,0,1.15,1.72,0,1.15,1.72,1.15,0,91.81,0.57,4.02,15.49,242.72,0.57,2.3,1.72,0,0,5.74,0,0,0,0,36.72,0,9.75,0,3.44
 60-70,0,0,0,5.89,0.98,277.77,0,0,0,37.3,6.87,0,0,0.98,0,1.96,1.96,0.98,0.98,54.97,0,1.96,6.87,150.17,3.93,1.96,0,0,0.98,1.96,0,0,0,0,6.87,0.98,4.91,0,0
 72-82,0,0,0,7.85,1.96,90.31,0,0.98,1.96,23.56,1.96,0,0.98,0.98,0.98,0.98,0,0,0,53.01,1.96,5.89,15.71,111.91,0.98,1.96,4.91,0,0,0.98,0,0,0,0,3.93,0,13.74,0,0.98
 84-94,0,0,0,11.68,3.19,88.15,0,0,1.06,18.05,6.37,0,1.06,4.25,4.25,1.06,1.06,1.06,0,44.61,0,3.19,24.43,84.96,2.12,0,1.06,0,2.12,8.5,0,0,1.06,0,2.12,2.12,3.19,0,1.06
 96-106,0,0,0,8.74,1.09,52.46,0,0,0,14.21,6.56,0,0,4.37,0,0,2.19,2.19,1.09,32.79,0,1.09,5.46,62.29,0,1.09,0,0,0,3.28,0,0,0,0,2.19,1.09,7.65,1.09,0
108-118,0,0,0,10.72,4.6,49.79,0,0,1.53,16.09,3.06,0,0,2.3,0.77,0.77,0,0,0,19.92,0,0,11.49,78.13,0.77,0,0.77,0,0,4.6,0,0,0.77,0,0.77,0.77,3.06,0,0
120,0,0,0,9.8,9.8,52.91,0,0,0,21.56,0,0,1.96,7.84,0,1.96,0,0,0,33.32,0,3.92,9.8,74.47,0,0,0,0,0,3.92,0,0,0,0,0,0,3.92,0,0
