stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,13.18,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,1,0,0,2,0,17,0,0,0,1,1,2,1,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0.82,8.21,0,0,0,0.82,0,0,3.28,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,8.06,0,0,0,1.61,0,0,1.61,0
 48-58,0,0,0,0,2.87,0,1.15,0,0,0,0,2.87,1.15,5.16,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0.98,1.96,0,1.96,0,0,0,0,3.93,0,23.56,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,8.83,0,0,0,0,0,0,7.85,0.98,10.8,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,8.5,0,0,0,0,1.06,1.06,4.25,2.12,7.43,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,12.02,3.28,1.09,0,0,0,1.09,5.46,0,9.84,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,0.77,0.77,4.6,0,0,0,0,0,0,3.83,1.53,9.96,0,0,0,0.77,0,0,0,0
120,0,0,0,0,3.92,1.96,1.96,1.96,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0
