stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,31.54,0,0,18.4,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,391.68,15.77,0,0,191.9,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.2,0,47.2,0,3.15,78.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.98,22.03,0,0,239.17,0,0,3.15,0,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,14,37,41,25,0,0,0,27,1,0,1,2,0,0,0,0,0,41,0,0,28,443,4,6,17,9,0,0,0,28,17,3,45,242,0,0,6,0,0
 24-34,0.82,0,0,4.1,23.8,3.28,87.01,0,0.82,3.28,22.16,0.82,0,0.82,1.64,0.82,0,3.28,0.82,0.82,63.21,0.82,0.82,22.16,849.59,0.82,9.85,26.27,0,0.82,0,0,0,5.75,0.82,15.6,238.87,0,0,28.73,0,0
 36-46,0,0,2.42,0,14.5,0,308.57,0.81,0,0.81,71.7,0,0,0.81,0,0,0,5.64,1.61,14.5,85.4,0.81,0.81,24.98,1395.42,2.42,6.45,12.09,0,0,0.81,0.81,0,0.81,0,0,323.07,0,0,13.7,0,1.61
 48-58,0,0,0,0,10.9,0.57,429.21,0.57,1.15,2.3,148.62,0.57,0,1.72,0.57,0.57,1.72,8.03,0,12.05,121.65,0,3.44,19.51,848.66,1.15,5.16,12.05,0,0.57,1.15,0,0,1.72,0,0,200.26,0,0,13.77,0,1.72
 60-70,0.98,0,1.96,0,14.72,0,486.83,0,3.93,0.98,163.91,3.93,0,3.93,1.96,0,3.93,7.85,0,11.78,135.45,0,5.89,10.8,665.47,0,5.89,6.87,0,0.98,0,0,0,0.98,0,0,120.73,0,0.98,4.91,0.98,3.93
 72-82,0,0,0.98,0,16.69,2.94,191.42,2.94,0,6.87,112.89,0,0,3.93,4.91,0.98,3.93,22.58,0,16.69,135.47,0.98,0.98,13.74,439.78,0,5.89,20.61,0,0.98,0.98,0,0,0,0,0,33.38,0,5.89,13.74,0.98,8.83
 84-94,0,0,3.19,0,16.99,1.06,128.51,0,0,2.12,60.54,0,0,0,12.74,1.06,0,10.62,1.06,24.43,95.58,0,5.31,10.62,203.91,1.06,5.31,36.11,0,0,3.19,0,0,0,1.06,0,22.3,0,2.12,10.62,3.19,19.12
 96-106,0,0,2.19,0,14.21,2.19,114.75,0,0,0,66.66,0,0,4.37,7.65,1.09,1.09,19.67,0,12.02,74.31,1.09,4.37,5.46,199.99,1.09,10.93,41.53,0,6.56,3.28,0,0,1.09,1.09,0,8.74,0,2.19,10.93,2.19,14.21
108-118,0,0,0,0,20.68,0,77.36,0,0.77,0.77,52.09,2.3,0,0,10.72,0,0.77,19.15,0,17.62,55.15,0,0.77,4.6,230.55,0.77,1.53,31.4,0,1.53,1.53,0,0,1.53,0,0,6.13,0.77,1.53,14.55,2.3,13.02
120,1.96,0,0,0,17.64,0,60.75,0,1.96,1.96,47.03,0,0,0,1.96,0,0,3.92,0,0,39.2,0,1.96,1.96,190.1,0,0,17.64,0,0,0,0,0,0,0,0,9.8,0,3.92,7.84,1.96,1.96
