stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,4.93,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,1.61,0,3.22,0,0,0.81,0,0,2.42,0.81
 48-58,0,0,0,0,5.74,0,0,0.57,0,0,0.57,0,3.44,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,47.11,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,165.9,0.98,0,1.96,0,0,0.98,0,8.83,1.96,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,125.32,0,0,0,0,0,0,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,2.19,257.91,0,0,2.19,1.09,0,0,0,7.65,0,2.19,1.09,0,0,0,2.19
108-118,0,0,0,0,176.94,0,0.77,0.77,0.77,0,1.53,0.77,4.6,0.77,1.53,0.77,0,0,0,0
120,0,0,5.88,0,264.57,1.96,1.96,3.92,0,1.96,1.96,0,7.84,0,0,3.92,0,0,0,0
