stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,84.12,0,0,47.32,0,0,5.26,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,34.17,120.92,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,3.15,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,66.09,217.14,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,26,120,14,7,0,0,0,7,21,0,11,0,1,0,0,2,61,0,0,52,53,239,0,4,2,0,3,2,21,1,0,23,61,0,0,1,0,0
 24-34,0,0,0,17.24,98.5,2.46,36.12,0,1.64,4.1,13.13,7.39,0,17.24,0.82,0,0,2.46,1.64,135.44,0.82,1.64,115.74,115.74,59.92,0.82,13.13,0,0.82,0,0,0.82,1.64,0,21.34,96.04,0,0,22.98,0,0
 36-46,0,0,0,1.61,44.31,1.61,32.23,0.81,3.22,4.83,12.09,8.86,0,18.53,0,0,0,3.22,0.81,127.3,0.81,4.03,88.62,75.73,12.89,0,11.28,0,0.81,2.42,0,0,0,0,0,47.53,0,0.81,40.28,0,0
 48-58,0,0,0,0.57,39.59,0,31.56,0,6.31,7.46,20.66,4.02,0,11.48,1.15,0,0,2.87,0,154.35,0,5.74,55.66,49.35,4.02,1.72,9.75,0,0,0.57,0,0,0.57,0.57,0,27.54,0,0,35,0,0.57
 60-70,0,0,0.98,0,39.26,0,35.33,0,10.8,15.7,24.54,12.76,0,6.87,0.98,0.98,0,2.94,0.98,326.85,0,4.91,53.98,55.95,9.82,0,13.74,0,0,0,0,0,0,0,0,17.67,0,2.94,58.89,0.98,0
 72-82,0,0,0,0.98,30.43,0.98,60.86,0.98,6.87,39.27,40.25,20.61,0,3.93,5.89,0,1.96,2.94,0,554.64,0,10.8,52.03,60.86,1.96,1.96,31.41,0,2.94,0.98,0,0,0,0,0,8.83,0,15.71,156.08,0,0
 84-94,0,0,0,0,45.67,1.06,82.84,0,19.12,11.68,44.61,28.68,0,9.56,2.12,2.12,1.06,5.31,1.06,384.46,0,9.56,38.23,24.43,2.12,1.06,38.23,0,1.06,2.12,0,0,0,0,0,6.37,0,14.87,148.69,3.19,0
 96-106,0,0,0,0,37.16,3.28,83.06,1.09,6.56,29.51,13.11,14.21,0,3.28,3.28,1.09,3.28,5.46,0,463.37,0,8.74,38.25,43.71,5.46,4.37,54.64,0,3.28,1.09,0,0,1.09,0,0,2.19,0,7.65,190.16,4.37,0
108-118,0.77,0,0,0.77,31.4,2.3,68.94,0,20.68,25.28,24.51,13.02,0,7.66,10.72,0,3.83,3.06,1.53,353.87,0,2.3,24.51,39.83,6.13,0.77,39.83,0,0.77,0.77,0,0,3.06,0,0,2.3,0.77,6.13,141.7,2.3,0.77
120,0,0,0,0,15.68,3.92,35.28,1.96,11.76,15.68,13.72,9.8,0,7.84,15.68,0,3.92,5.88,0,290.05,3.92,0,19.6,33.32,7.84,1.96,23.52,0,3.92,0,0,0,0,0,0,1.96,1.96,0,109.75,0,0
