stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,19,0,0,0,1,0,3,0,3,6,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,65.67,0.82,0.82,0,0,0,0,0.82,0,14.78,0,0.82,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,137.77,0,0,0,0,0.81,0,0,0,16.11,0,0.81,0,0
 48-58,0,0,0,0,9.75,0,0.57,0,3.44,0,0.57,0.57,0,0,0,0,0,0,1.72,0,0,0.57,141.16,0,0,0,0,0.57,0,0,0,8.61,0,0.57,0,0
 60-70,0,0.98,0,0,31.41,0,0,0,3.93,0,0,0,0,0,0,0,0,0,3.93,0.98,0,0,317.03,0,0.98,1.96,0,0,0,0,0,8.83,0,0.98,0,1.96
 72-82,1.96,0.98,0.98,0,84.42,0.98,0,1.96,7.85,0,0,0.98,0,0.98,0.98,0.98,0,0,14.72,0,0,0.98,485.92,0,0,0,0,0.98,0,0,0,5.89,0,0,0.98,2.94
 84-94,0,1.06,0,0,55.23,0,0,0,7.43,0,0,0,0,0,0,0,0,0,3.19,0,0,2.12,272.94,0,0,1.06,0,3.19,0,0,0,6.37,0,0,1.06,0
 96-106,2.19,1.09,2.19,1.09,53.55,0,0,0,8.74,0,0,0,1.09,1.09,1.09,0,1.09,0,8.74,0,0,0,255.73,0,0,0,0,1.09,0,0,0,2.19,1.09,1.09,0,0
108-118,1.53,3.83,0.77,0,49.79,0,0,1.53,10.72,0.77,0,0,0,0,0,0,0.77,0.77,9.96,0,0.77,0.77,346.22,0.77,0.77,0.77,0,0.77,0,0,0,0.77,1.53,0.77,0,0
120,1.96,5.88,1.96,0,37.24,0,0,0,15.68,0,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,366.48,0,5.88,0,0,1.96,0,0,0,3.92,0,1.96,1.96,0
