stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,377.64,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,70,1,0,0,0,0,0,0,0,0,7,0,2,5,0,1,0,0,0,1,1,0,0,0
 24-34,0,22.16,0,0.82,0,1.64,0,0,1.64,0,0.82,5.75,0,2.46,4.93,0,0,0,0,0,0,1.64,0,3.28,0
 36-46,0,8.06,0,0,0,2.42,0,0,0,0,0,5.64,0,0.81,6.45,0,0,0,0,0,0,0,0,2.42,0
 48-58,0,2.3,0,0.57,0.57,0.57,0.57,0,0.57,0,0,9.75,1.72,1.15,1.15,0,0,0,0,0,0,1.15,0,1.72,0
 60-70,0,2.94,0,0.98,0,4.91,0,0,2.94,0,0,16.69,0,0,3.93,0,0,0,0,0,0,0,0.98,1.96,0
 72-82,0,0.98,0,0.98,0,0.98,0,0.98,1.96,0,0,10.8,6.87,0,1.96,0.98,0,0,0,0,0,0,0.98,0.98,0.98
 84-94,0,1.06,0,1.06,0,2.12,2.12,0,0,0,0,9.56,2.12,0,0,0,0,0,0,0,0,0,2.12,1.06,6.37
 96-106,0,0,0,0,0,3.28,0,2.19,2.19,0,0,8.74,1.09,0,1.09,0,0,0,2.19,0,0,0,1.09,3.28,6.56
108-118,0,3.06,0,0,0,3.06,0,0.77,0.77,1.53,0,3.83,2.3,1.53,0,0,0,0,0,0,0,0,0.77,1.53,3.06
120,0,0,0,0,0,5.88,0,0,0,0,0,7.84,0,0,3.92,0,0,0,0,0,0,0,0,1.96,11.76
