stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,3.28,5.75,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,1.61,0,0,0,0.81,0,45.92,0,1.61,6.45,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.87,0.57,0,4.02,4.02,0,0,0,0,0,102.71,0,3.44,15.49,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0
 60-70,0.98,0,0,6.87,0,0,5.89,18.65,0,0,0,0,0,206.12,0.98,4.91,20.61,0,0,0,0,1.96,0,0,0,1.96,0,0.98,0
 72-82,1.96,0.98,0,15.71,0,0,3.93,29.45,0,0,0,0,0,363.21,0,5.89,29.45,0,0,0,0,0.98,0,0,0.98,2.94,0,4.91,1.96
 84-94,0,0,0,28.68,0,0,4.25,16.99,0,1.06,0,0,1.06,231.52,0,3.19,13.81,1.06,0,0,1.06,4.25,3.19,0,0,5.31,2.12,7.43,0
 96-106,6.56,0,1.09,10.93,1.09,1.09,1.09,8.74,0,0,0,0,0,252.45,1.09,8.74,20.76,0,0,0,0,3.28,0,0,2.19,5.46,2.19,13.11,0
108-118,2.3,0,0,3.83,0,0,3.06,16.09,0.77,0,0.77,0.77,0,296.43,0,3.83,22.21,0.77,0.77,0,1.53,5.36,1.53,0,0,0,0.77,6.13,0
120,7.84,0,0,1.96,0,0,5.88,15.68,0,0,0,0,0,158.74,0,5.88,27.44,0,0,0,1.96,1.96,0,0,0,0,0,13.72,0
