stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,631.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23,0,20,0,0,0,2,0,0,1,0,0,0,0,1,2,0,4,36,2,0,1,0,0,0,0,2,3,2,7,0,0,1,0,0
 24-34,0,0,0,0.82,25.45,0,39.4,0,1.64,0,1.64,0.82,0,0,0,0,0,7.39,0,5.75,0,4.93,80.44,0.82,0.82,2.46,0,0,0,0,0,6.57,2.46,22.98,0,0,0.82,0,0
 36-46,0,0,0,0,8.86,0,27.39,0,2.42,0,5.64,0,0,0.81,0,0,0,0.81,0,7.25,0,5.64,144.21,0.81,0.81,4.83,0,0,0,0,0,0.81,0,46.73,0,0,2.42,0,0
 48-58,0,0,0.57,0.57,5.74,0,23.53,0,1.15,0,12.05,0,0,0,0,0,0,3.44,0.57,14.92,0,2.87,164.11,0.57,0,5.16,0,0.57,0.57,0,0,1.15,0,40.17,0,0,0.57,0,0
 60-70,0,0,0,0,9.82,0,56.93,0,3.93,0.98,25.52,0,0.98,0,0,0.98,0,3.93,0,46.13,0,2.94,432.85,0.98,0.98,1.96,0,0,0,0,0,1.96,0,63.8,0.98,0,1.96,0.98,0.98
 72-82,0,0,0,0,10.8,1.96,79.51,0,0.98,0,27.49,0.98,0,0,0,0,0,9.82,0,59.88,1.96,6.87,396.59,0,0,10.8,0,0,0,0,0,0,0,40.25,0,3.93,2.94,0,0
 84-94,0,0,0,0,21.24,0,73.28,1.06,5.31,1.06,18.05,0,0,2.12,1.06,3.19,2.12,7.43,0,44.61,2.12,5.31,233.65,1.06,2.12,2.12,0,0,1.06,0,0,2.12,0,30.8,1.06,1.06,3.19,0,0
 96-106,0,0,0,0,18.58,1.09,43.71,0,3.28,0,16.39,0,0,1.09,0,1.09,1.09,6.56,0,52.46,0,3.28,144.26,0,2.19,4.37,0,0,1.09,0,0,0,0,8.74,2.19,1.09,1.09,0,0
108-118,0,0,0,0.77,13.79,0,46.72,1.53,9.19,0.77,17.62,1.53,0,0,0,2.3,3.06,6.13,0,43.66,0,3.83,178.47,0.77,3.83,4.6,0,0.77,0.77,0,0,1.53,0,9.19,0.77,1.53,1.53,1.53,0.77
120,0,0,0,0,21.56,1.96,37.24,0,3.92,0,15.68,3.92,0,0,0,0,0,7.84,0,50.95,0,3.92,201.86,0,1.96,7.84,0,1.96,1.96,0,0,1.96,0,5.88,1.96,0,1.96,1.96,0
