stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,6,0,1,0,1,0,0,0,1,0,0,0,1,9,0,0,0,0,0,1,2,10,0,0,0,0
 24-34,0,0,2.46,0,31.19,0,2.46,0,12.31,0,3.28,0,3.28,9.85,0,0,9.03,93.58,0,0,0,0,0.82,0,0,8.21,0,0,0,0
 36-46,0,0,0.81,0,38.67,0,8.06,0,26.59,0,5.64,0,0.81,20.14,0,0,16.11,82.18,0,0,0,0,0.81,0,0,30.62,0,0,0,0.81
 48-58,0.57,0,0,0,29.26,0,4.02,0,37.87,0,4.02,0,0,20.66,0,0,2.3,71.73,0.57,1.15,0.57,0,0.57,0,0,8.03,0,0,0,0
 60-70,0,0,2.94,0,14.72,0,9.82,0.98,22.58,0,1.96,0.98,0.98,15.7,0,0,2.94,66.74,0,2.94,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,2.94,0.98,20.61,0,25.52,0,41.23,0,6.87,0,0,52.03,0,0,0.98,97.18,0,4.91,0,0,0.98,0,0,1.96,0,1.96,0,0
 84-94,0,0,4.25,1.06,10.62,0,18.05,1.06,44.61,0,8.5,0,0,24.43,0,2.12,2.12,70.09,1.06,2.12,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,5.46,0,19.67,2.19,29.51,1.09,62.29,1.09,2.19,1.09,0,40.44,0,0,3.28,66.66,3.28,9.84,0,1.09,2.19,0,0,0,0,1.09,1.09,0
108-118,0,0,4.6,0.77,16.09,0,16.85,0.77,53.62,1.53,3.06,0,5.36,35.23,0.77,0.77,0,52.85,0,5.36,0,0,1.53,0,0,0,0,0,0.77,0.77
120,1.96,0,0,0,7.84,0,7.84,0,84.27,3.92,0,0,0,15.68,0,1.96,0,41.16,0,1.96,0,0,1.96,0,0,0,0,0,0,0
