stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,6,1,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,4,0,0,5,31,1,0,0,0,0,8,0,3,0,245,132,11,0,0,0,0,0
 24-34,0,0.82,0.82,23.8,2.46,0,52.53,225.74,3.28,2.46,9.85,0,0,4.93,0.82,1.64,0,1.64,2.46,2.46,41.04,0,0,55,462.14,5.75,2.46,3.28,0.82,0.82,44.33,0,0.82,3.28,216.71,210.96,80.44,0,0,18.88,0,1.64
 36-46,0,0,0.81,9.67,0,0,99.9,503.54,3.22,0.81,32.23,0.81,0,4.03,0.81,1.61,0,0,1.61,4.83,69.29,0,0.81,45.12,606.67,4.03,4.03,2.42,0,0,39.48,0,0.81,0.81,215.11,18.53,136.16,0,0,6.45,0,4.03
 48-58,0,1.15,0,20.08,5.74,0,393.06,463.06,2.87,9.18,81.48,3.44,0.57,2.87,5.74,3.44,1.15,0.57,2.87,8.03,170.42,1.72,2.87,51.07,995.55,8.61,5.74,8.03,0,1.15,36.15,0,0,0,168.12,0,204.85,0,1.15,18.94,0.57,19.51
 60-70,0.98,0,0,26.5,11.78,0,420.09,318.99,6.87,7.85,74.6,7.85,0,3.93,8.83,1.96,3.93,2.94,1.96,4.91,181.58,2.94,6.87,37.3,847.05,3.93,1.96,4.91,0.98,0.98,43.19,0,0.98,2.94,109.93,0,111.89,0.98,1.96,9.82,0.98,13.74
 72-82,0,0,0.98,24.54,21.6,0,348.49,211.06,4.91,9.82,102.09,1.96,0.98,3.93,6.87,0.98,9.82,2.94,2.94,0.98,224.8,2.94,9.82,49.08,667.53,4.91,6.87,5.89,0,0.98,29.45,0,0,0,59.88,0,79.51,0,10.8,14.72,12.76,11.78
 84-94,1.06,2.12,0,40.36,41.42,1.06,266.57,365.34,9.56,7.43,58.41,13.81,0,2.12,16.99,4.25,9.56,3.19,5.31,7.43,174.17,3.19,11.68,45.67,355.78,5.31,5.31,13.81,0,1.06,115.76,0,0,2.12,116.82,0,33.99,1.06,9.56,21.24,12.74,10.62
 96-106,0,6.56,0,48.09,50.27,0,261.19,589.04,9.84,4.37,81.96,7.65,1.09,4.37,25.14,5.46,4.37,10.93,20.76,1.09,179.23,5.46,14.21,43.71,358.45,5.46,14.21,13.11,1.09,3.28,108.19,1.09,0,1.09,116.93,0,17.49,3.28,13.11,22.95,22.95,10.93
108-118,0,0.77,0,34.47,16.09,3.83,120.26,472.6,3.06,3.83,39.83,5.36,0,0.77,12.26,1.53,3.06,3.83,6.89,4.6,121.02,3.83,9.96,53.62,268.09,2.3,4.6,4.6,0,3.83,46.72,0.77,0,1.53,106.47,0,9.19,1.53,6.89,10.72,12.26,7.66
120,0,5.88,0,19.6,9.8,1.96,101.91,250.85,3.92,5.88,25.48,3.92,0,0,7.84,7.84,0,0,5.88,0,82.31,1.96,9.8,47.03,233.21,0,1.96,5.88,0,3.92,33.32,0,0,0,29.4,0,13.72,5.88,5.88,7.84,7.84,5.88
