stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,52.71,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,416.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,36.8,0,5.26,0,0,126.18,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,715.01,26.29,0,0,475.8,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,9.44,0,0,59.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,241,1,0,0,0,0,0,0,0,0,41,0,0,0
 24-34,0,0,0.82,0,36.12,4.93,122.31,0,2.46,3.28,73.88,0.82,0.82,0.82,0.82,1.64,2.46,1.64,3.28,1.64,65.67,1.64,0,35.3,8607.5,7.39,11.49,9.85,0.82,41.86,0,4.1,7.39,11.49,1872.37,0,17.24,3.28
 36-46,0,0,0.81,0.81,21.75,2.42,186.11,4.83,2.42,5.64,220.75,0,0,1.61,3.22,3.22,0.81,0.81,0.81,5.64,82.98,0.81,3.22,37.06,7715.09,8.86,4.03,7.25,0,17.72,0.81,3.22,15.31,1.61,3316.13,0,16.11,9.67
 48-58,0,0,0,0,4.02,1.15,134.27,0.57,1.72,1.72,117.63,0.57,0,0.57,1.15,0,0,0.57,0,0.57,31.56,0,1.15,12.05,1405.82,1.72,0.57,1.15,0,6.31,0,0,2.87,0,1550.99,0,5.16,2.3
 60-70,0,0,0,0,0,0,44.17,0,0,0.98,9.82,0,0,0,0,0,0,0,0,0,5.89,0,0,1.96,137.41,2.94,0,4.91,0,0.98,0,0,0.98,0,173.73,0,0,0
 72-82,0,0,0,0,2.94,0,25.52,0,0,0,10.8,0,0,0,0,0,0,0,0,0,2.94,0,0,0.98,53.99,0,0.98,0,0,0.98,0,0,0,0,25.52,0,0,0
 84-94,0,0,0,0,2.12,0,13.81,1.06,0,0,5.31,0,0,0,0,0,0,0,0,0,4.25,0,0,0,23.36,0,0,0,0,1.06,0,0,1.06,0,26.55,0,0,0
 96-106,0,0,1.09,0,0,0,15.3,0,0,0,2.19,0,0,0,0,0,0,0,0,0,3.28,0,0,0,14.21,0,0,0,0,0,0,0,1.09,0,4.37,2.19,0,0
108-118,0,0,0.77,0,0,0,7.66,0,0,0,2.3,0,0,0,0,0,0,0,0.77,0,1.53,0,0,0,24.51,0,0,0,0,1.53,0,0,0,0,1.53,0,0,0
120,0,0,1.96,0,3.92,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,21.56,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
