stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,12,0,0,0,1,0,2,2,1,0,1,7,0,0,2,0,0
 24-34,0,0,0,0.82,7.39,0,0,0,0.82,0,0,0.82,0,1.64,0,4.1,0,0.82,0.82,0,3.28,0,0,2.46,36.12,0,0,0,0,4.1,0,0,0.82,0,0,8.21,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,0,2.42,0,0,0,2.42,0.81,0,0,0,0,0,0,0,11.28,0.81,0.81,2.42,28.2,0.81,1.61,0,0,3.22,0,0,0,0,0,5.64,0,0,3.22,0,0
 48-58,0,0,0,0,1.72,0,0,3.44,0,0,0,2.3,0,0,0.57,1.15,0,0,0,0.57,10.33,0,0,2.87,18.94,0,0,0,0,8.03,0,0,0,0,0,6.89,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,1.96,0,0,2.94,3.93,0.98,0,0.98,0,0,0,0,0,10.8,0.98,0.98,0,20.61,0,0.98,0,0,6.87,0,0,0,0,0,6.87,0,0.98,5.89,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,10.8,0,0,0.98,8.83,1.96,0,2.94,0,0.98,0,0,0,23.56,2.94,1.96,5.89,30.43,0,4.91,0,0,19.63,0,0,0.98,0,0,5.89,1.96,0.98,4.91,0.98,0
 84-94,0,0,0,0,9.56,1.06,0,9.56,0,0,0,2.12,2.12,0,3.19,3.19,1.06,1.06,0,3.19,11.68,1.06,3.19,4.25,11.68,0,1.06,3.19,0,43.54,0,0,1.06,0,0,0,0,1.06,7.43,2.12,4.25
 96-106,0,0,0,0,12.02,1.09,1.09,10.93,0,2.19,0,4.37,3.28,1.09,7.65,1.09,2.19,3.28,0,1.09,5.46,4.37,3.28,1.09,21.86,1.09,3.28,4.37,0,61.2,0,0,0,0,0,3.28,1.09,0,7.65,0,1.09
108-118,0,0,0,0,20.68,2.3,0,8.43,0.77,0,0,3.83,2.3,1.53,4.6,1.53,0.77,0.77,0.77,1.53,15.32,0.77,1.53,2.3,24.51,1.53,3.06,1.53,0,43.66,0,0,0,0.77,0,0.77,2.3,0,6.13,0,0
120,0,0,0,0,7.84,5.88,1.96,7.84,0,5.88,0,3.92,1.96,1.96,11.76,0,1.96,0,1.96,1.96,11.76,0,1.96,3.92,11.76,0,3.92,0,0,48.99,0,0,1.96,1.96,0,1.96,0,0,7.84,0,0
