stage,epidermis,eye,fin_epithelia,gut,ionocyte,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,23.66,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,22.03,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,28,1,0,0
 24-34,0,0,0,0.82,0,0,0.82,4.1,0,0,0,59.1,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,1.61,0,0,0,62.04,0,0,0
 48-58,1.15,0.57,0,0,0,0,0,1.72,0,0,0,22.38,0,0,0
 60-70,1.96,1.96,0,0,0,0,0.98,0.98,0,0,0,34.35,0,0,0
 72-82,0.98,0,0.98,0,0,0,0,1.96,0,0.98,0,26.5,0,0,0
 84-94,3.19,0,2.12,1.06,0,0,1.06,1.06,0,0,0,80.71,0,0,0
 96-106,9.84,1.09,2.19,0,0,1.09,0,2.19,0,0,0,79.78,0,0,0
108-118,10.72,0,2.3,0,0.77,0,0,0.77,0,0,0,81.96,0,0.77,0
120,11.76,0,3.92,0,3.92,0,0,1.96,0,0,0,54.87,0,0,0
