stage,epidermis,erythrocytes,eye,fast_muscle,glial,immune,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 14-21,0,8,0,0,0,26,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,2.46,0,0,0,41.86,0,0,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,29.81,0.81,0.81,0.81,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,36.15,0,0.57,1.15,0,2.3,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,35.33,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,57.92,0,0,0,0,2.94,0,0,0,0,1.96
 84-94,0,0,0,0,0,87.09,0,1.06,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,0,89.61,0,0,3.28,0,3.28,0,0,0,0,0
108-118,0,0,0,0,0,62.81,0,0,1.53,1.53,3.06,0,0,0,0.77,0.77
120,0,0,0,0,0,70.55,0,0,0,0,0,1.96,0,0,0,1.96
