stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,25.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,31,1,0,0,0,0,4,0,1,19,1,0,8,3,0,1,2,34,1,85,0,0,0
 24-34,0,0,0,0,1.64,0,0,2.46,0,0,0,33.66,0,0,0.82,0,0,2.46,0,2.46,46.79,0,3.28,2.46,0,0,0,0,9.85,0.82,69.77,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,10.47,0,0,0,22.56,0,0,0,0,0,3.22,0.81,0.81,54.79,0,1.61,0.81,0,0,0.81,0,6.45,0,51.56,0,0,0
 48-58,0,0,0,0,0.57,0,0,14.92,0,0,0,19.51,0,0,0,0,0.57,4.59,0,0,49.35,0,2.3,4.59,0,0,0,0,1.15,0,36.72,0,0,0
 60-70,0,0,0.98,0,0,0,0,17.67,0,0,0,16.69,0,0,0,0.98,3.93,6.87,0,1.96,39.26,0,1.96,7.85,0,0,0,0,2.94,0,28.46,0,0.98,0
 72-82,0,0,0.98,0,1.96,0,0,9.82,0,0.98,0.98,17.67,0,0,0,0,4.91,7.85,0,0.98,34.36,0,3.93,14.72,0,0.98,0,0,1.96,0,14.72,0,0.98,0
 84-94,0,0,0,0,0,0,0,14.87,0,0,0,13.81,0,0,0,0,7.43,11.68,3.19,1.06,16.99,0,3.19,22.3,0,0,1.06,0,1.06,0,11.68,1.06,0,1.06
 96-106,0,0,0,0,2.19,0,0,14.21,0,0,0,7.65,0,1.09,0,0,9.84,4.37,1.09,0,9.84,0,3.28,31.69,0,1.09,1.09,0,0,0,6.56,0,1.09,0
108-118,0,0,0,0.77,0,0.77,0.77,6.89,0.77,0,0.77,6.89,0,1.53,2.3,0,6.13,5.36,0,0.77,26.04,0,3.83,23.74,0,1.53,0,0,0,0,8.43,0,0.77,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,5.88,0,0,0,0,11.76,5.88,1.96,0,25.48,0,1.96,15.68,0,0,0,0,0,0,3.92,0,0,0
