stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,22,1,0,0,0,0,0,4,1,3,0,0,1,1,4,6
 24-34,0.82,8.21,0,0.82,0,0.82,0,0,2.46,1.64,4.1,0,0,0,0,4.1,4.93
 36-46,3.22,0.81,0,0,0,0.81,0,0,1.61,0.81,2.42,0,0,0,0,0,0.81
 48-58,4.02,2.3,0,0,0,0,0,0,2.3,0.57,5.16,0,0,0,0,0,0.57
 60-70,0,3.93,0,0.98,0,0,0,0,4.91,0,17.67,0,0,0,0,0,0
 72-82,3.93,0,0,6.87,0,0.98,0,0,7.85,0,35.34,0,0,0,0,0,0
 84-94,2.12,5.31,0,5.31,0,0,0,0,3.19,1.06,22.3,0,0,0,0,0,0
 96-106,3.28,4.37,0,4.37,2.19,1.09,1.09,1.09,1.09,0,25.14,0,0,0,0,0,0
108-118,3.06,7.66,0,4.6,0,0,0,0,3.06,0,27.57,0,0,0,0,0,0.77
120,3.92,0,0,9.8,1.96,1.96,0,0,3.92,0,29.4,1.96,0,0,0,0,0
