stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,38,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6,45,1,1,0,0,3,1,0,2,2,0,0,0,0,0
 24-34,0,0,0.82,28.73,1.64,1.64,0,0.82,0,0,0,0,2.46,0,1.64,0,0,1.64,0,0,1.64,9.85,33.66,1.64,0.82,0,0.82,13.13,0,0,0.82,4.1,0,0,0.82,0,0
 36-46,0,0,0,10.47,1.61,3.22,0,0,0,0,2.42,0,0,0,0,0,0,5.64,0,0,0.81,7.25,23.36,0,1.61,0,0,16.92,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,6.31,1.15,0.57,0.57,0,0,0.57,3.44,0.57,1.15,0,0,0,0.57,10.33,1.15,1.15,1.72,4.59,10.9,0.57,1.15,0,0,5.74,0,0,0,0,0,0.57,1.15,0,0
 60-70,0,0,0,11.78,0.98,1.96,0,0.98,0,0.98,2.94,0,0,0,0.98,0,0,55.95,0,3.93,0.98,3.93,9.82,0.98,0.98,0,0.98,21.59,0,0,0,0,0.98,0,2.94,0,0.98
 72-82,0,0,0.98,5.89,0.98,0.98,0,1.96,0.98,0.98,7.85,0,0,0,0.98,0,0,90.31,0,0.98,0,2.94,8.83,0.98,1.96,0,0,10.8,0,0,0,0.98,0.98,0.98,3.93,1.96,0
 84-94,2.12,0,0,11.68,0,3.19,0,1.06,1.06,0,12.74,2.12,3.19,1.06,3.19,0,0,89.21,0,5.31,2.12,1.06,14.87,3.19,3.19,0,2.12,39.3,0,0,0,0,1.06,1.06,7.43,4.25,0
 96-106,0,0,0,14.21,2.19,3.28,0,0,3.28,0,9.84,1.09,0,0,2.19,1.09,0,39.34,0,4.37,1.09,2.19,10.93,3.28,4.37,0,2.19,15.3,0,0,0,2.19,0,0,5.46,7.65,0
108-118,0,0,0,9.19,1.53,6.13,0,0,1.53,0,3.06,1.53,3.83,0.77,1.53,0,0,36,1.53,1.53,0.77,1.53,14.55,0.77,3.06,0,4.6,13.79,0,0.77,0,2.3,0.77,0,3.06,6.89,0
120,1.96,0,0,5.88,5.88,3.92,0,0,0,0,7.84,1.96,5.88,1.96,0,0,0,48.99,0,0,1.96,1.96,25.48,0,1.96,0,0,9.8,0,0,0,0,3.92,0,1.96,3.92,0
