stage,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,heart,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,taste,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,25.18,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
 24-34,0,3.28,0,0,0,0,0.82,4.1,1.64,11.49,0,0,0,0,0,0
 36-46,0,2.42,0,0,0,0,0,2.42,0,15.31,0,0,0,4.03,0,0
 48-58,0,6.31,1.15,0,0,0,0,0.57,1.15,17.79,0,0,0,0,0,0
 60-70,0,3.93,0.98,0,0,0,0,4.91,0,42.21,0,0,0,0.98,0,0
 72-82,0,1.96,2.94,0,1.96,0,0,1.96,0,44.17,0,0.98,0,0.98,0,0
 84-94,0,1.06,0,0,0,0,0,1.06,1.06,15.93,0,0,0,0,1.06,1.06
 96-106,0,0,1.09,0,1.09,0,0,1.09,0,18.58,0,0,0,0,0,0
108-118,0,2.3,2.3,0.77,0.77,0,0,0.77,0,35.23,0,0,1.53,0,0,0.77
120,0,3.92,1.96,0,0,0,0,0,0,35.28,0,0,0,0,1.96,0
