stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,36.78,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,42.06,0,0,15.77,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,37.76,0,0,12.59,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,1,15,0,0,0,0,1,1,1,0,0,0
 24-34,0,0,0,0,0,0,13.95,0,0,0,0.82,0.82,0.82,4.1,0,0,20.52,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,1.61,0,0,5.64,0.81,0,0,0,0,0,0.81,0,0,12.09,0,0,0,0,0.81,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,2.3,0.57,0,0,0,0,1.15,0,0,0.57,4.59,0,0,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,0,0.98,0,0,0,0,11.78,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,10.8,0,0,0,0.98,0.98,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,1.06,0,3.19,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,1.09,0,5.46,0,0,0,2.19,2.19,0,1.09,0,0,0
108-118,0,0,0.77,3.83,0,0.77,1.53,0.77,0.77,0,0,0.77,0,0,0.77,0,4.6,0.77,0.77,0,0.77,2.3,0,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,3.92,0,0,0,0,0,1.96,1.96,0,0,0,0,0
