stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,12,0,0
 24-34,1.64,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0.82,104.25,2.46,0,0.82,22.16,0.82,0
 36-46,0.81,0,0,12.09,0,0.81,3.22,0,0,0,3.22,0,0,0.81,174.02,0.81,0,0.81,41.89,0,0
 48-58,0,0,0,32.71,0,0,1.15,0,0,0,2.87,0,0,0,213.46,0,0,0,48.2,0,0.57
 60-70,0.98,0,0,53.98,0,0,3.93,0,0,0,1.96,0,0,0.98,186.49,0.98,1.96,0,19.63,0,0
 72-82,0,0.98,0,46.14,0,0.98,6.87,0,0,0.98,5.89,0,0.98,0,196.33,0,1.96,0,17.67,0,0
 84-94,1.06,1.06,0,25.49,1.06,0,3.19,0,1.06,0,3.19,1.06,0,1.06,115.76,1.06,3.19,0,7.43,0,0
 96-106,0,2.19,0,28.41,0,0,9.84,1.09,1.09,0,3.28,0,0,0,76.5,2.19,3.28,1.09,4.37,0,0
108-118,0,1.53,0.77,19.15,0,0,3.06,1.53,0,0,2.3,0,0.77,0,85.02,0,3.06,0.77,0.77,0,0
120,1.96,0,0,25.48,0,1.96,3.92,1.96,0,0,0,0,0,0,80.35,1.96,5.88,0,1.96,0,0
