stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,5.26,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,14,3,0,12,0,0,0,3,2,0,0,0,0,0,0,0,1,7,1,0,6,118,0,0,2,1,0,0,26,2,0,24,40,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,13.95,0,0.82,0,0.82,0.82,0,0.82,0,0.82,0,0,0.82,0.82,9.03,0,0,7.39,138.72,0,2.46,0.82,0,0,4.1,0,0,0,7.39,27.09,0,4.1,0,0
 36-46,0,0,0,0,2.42,0,0,24.17,0.81,0.81,0.81,7.25,0,0,0,0.81,0,0.81,0.81,0,0,16.92,0,0,2.42,86.21,0.81,0.81,0,0,0,2.42,0,0.81,0,0,22.56,0,1.61,0,0
 48-58,0,0,0,0,2.3,0.57,0,35,0,1.15,0.57,13.77,0,0,1.15,0.57,0.57,0,1.15,0.57,0.57,10.9,0,0.57,3.44,72.3,0,2.3,0,0,0,1.72,0,0.57,0,0,13.2,0,0.57,0,0
 60-70,0,0,0,0,1.96,1.96,0,38.28,0,0.98,0,8.83,0.98,0,0.98,1.96,0,1.96,0,0.98,0,18.65,0,0.98,3.93,67.73,0.98,0.98,0.98,0,0,3.93,0,0.98,0.98,0,8.83,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,0.98,0,28.47,0,0,0.98,6.87,0.98,0,0,0,0.98,0,0.98,0,0,17.67,1.96,0,4.91,41.23,0,2.94,0.98,0,0,1.96,0,0,0,0,5.89,0.98,6.87,0,0
 84-94,0,0,0,0,4.25,4.25,0,22.3,0,1.06,0,7.43,0,1.06,0,4.25,1.06,0,1.06,0,0,7.43,0,1.06,2.12,26.55,1.06,0,5.31,0,0,10.62,0,4.25,0,0,3.19,1.06,1.06,1.06,0
 96-106,0,0,0,0,1.09,4.37,0,10.93,0,1.09,1.09,4.37,0,0,0,3.28,3.28,1.09,0,0,1.09,14.21,0,1.09,1.09,22.95,0,2.19,0,0,0,8.74,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0.77,0,6.13,3.83,0.77,15.32,1.53,0.77,0,6.13,0,0,0,1.53,1.53,1.53,0,0,0,13.02,0.77,0,2.3,30.64,0,2.3,0.77,0,1.53,6.89,0,0,0,0,0.77,0,2.3,0,0
120,0,0,0,0,5.88,5.88,0,11.76,0,1.96,0,1.96,0,0,0,9.8,1.96,1.96,1.96,0,0,13.72,0,1.96,1.96,29.4,1.96,0,1.96,0,0,17.64,0,0,0,0,0,0,1.96,0,0
