stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,7,0,0,0,0,0,4,0,0
 24-34,0,0,1.64,0,0,0,0,0,1.64,0,0,0,0,0,2.46,0.82,28.73,0.82,0.82,0,0,0,3.28,0,0
 36-46,0,0,1.61,0,4.03,0,0,0.81,1.61,0,0,0.81,0,0,5.64,0,27.39,0,0,0,0,0.81,4.03,0,0
 48-58,0,0,0,0,8.61,0,0,1.15,1.72,0,0,0,0.57,0,0,1.15,25.25,0,0,0,0,0,3.44,0,0
 60-70,0,0,1.96,0,4.91,0,0,0,0,0,0,0,0,0,2.94,0,7.85,0,0,0,0,0.98,3.93,0,0
 72-82,0,0,0,0,8.83,0.98,0.98,0,1.96,0.98,0,0,0.98,0,1.96,0,29.45,0.98,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,5.31,1.06,0,0,1.06,0,1.06,0,0,0,2.12,1.06,12.74,0,0,0,0,3.19,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,0,4.37,0,0,0,1.09,1.09,2.19,0,6.56,0,0,0,0,2.19,0,2.19,0
108-118,0,0,0,0,3.06,0,0,0.77,0.77,0.77,0,0,0,0,3.06,0,10.72,0,0,1.53,0,3.06,0,2.3,0
120,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,13.72,0,0,0,0,1.96,0,3.92,0
