stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,1,0,0,0,0,0
 24-34,0,0,0,0.82,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,2.46,0,0,3.28,12.31,0.82,0.82,0,0,4.93,0,0,6.57,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,4.03,0.81,0,0,17.72,0,0.81,0,0,8.86,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,10.33,0.57,1.72,0,0.57,0,0,0,0,0,0,0,0.57,10.33,0,0,0.57,51.07,0,0.57,0.57,0,5.16,0,0,14.35,0,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,0,10.8,0,3.93,0.98,1.96,0,0,0,0,0,0,0,0,4.91,0,0,0.98,54.97,0.98,0,0,0,11.78,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,0,2.94,0.98,0,22.58,0.98,0,1.96,0,0,0.98,0,0,0.98,0,0,0,13.74,0.98,0.98,1.96,77.55,0,0,0,0,19.63,0.98,0,7.85,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,10.62,1.06,0,1.06,0,0,1.06,0,0,0,0,0,1.06,9.56,0,0,1.06,20.18,0,0,0,0,28.68,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,6.56,0,0,8.74,0,2.19,0,2.19,2.19,0,0,1.09,0,0,0,0,8.74,1.09,0,1.09,25.14,0,1.09,1.09,0,19.67,0,0,3.28,1.09,0,2.19,1.09,1.09
108-118,0,0,0,0.77,2.3,0,0,3.06,0,0.77,0,3.83,2.3,0,0.77,0.77,0,0.77,0.77,0,3.83,0,0,3.06,15.32,0,0,0.77,0,21.45,0,0,0.77,0.77,0,2.3,0,0
120,0,0,0,0,5.88,0,1.96,5.88,0,0,0,3.92,5.88,0,0,3.92,0,0,1.96,0,5.88,0,0,9.8,21.56,0,0,0,0,25.48,0,0,0,0,0,1.96,0,0
