stage,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0.57,0.57,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,1.96,0,0,0,2.94,0,0,2.94,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,0,0,1.96,0,0.98,0,0,0.98,0,0.98,0,0,0,0
 84-94,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0
108-118,1.53,0.77,0.77,0.77,0,0.77,0.77,3.06,0.77,0,1.53,0.77,0,1.53,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
