stage,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,4,0,0,0,0,1,2,0,0,0,0
 24-34,0.82,0,0,5.75,0,0,0.82,0,0,1.64,0,0.82,0,0
 36-46,0,0.81,0,12.89,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,10.33,0,1.72,0,0,0,1.72,0,1.15,0.57,0
 60-70,0,0.98,0.98,10.8,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,2.94,0,26.5,0,0,0,0.98,0,2.94,0,0,1.96,0.98
 84-94,0,2.12,0,25.49,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,30.6,1.09,1.09,0,0,1.09,1.09,0,0,0,0
108-118,0,0.77,1.53,22.98,0,1.53,0,0,0.77,0.77,0.77,0,0,0
120,1.96,0,1.96,15.68,0,0,0,0,0,1.96,0,0,0,0
