stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,3.44,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,4.91,0,0,0,0.98,0.98,0,0,0,0.98,0,0.98,1.96,0,0,0,29.45,0,0,0,0,0.98,10.8,0,0,0,0,0
 72-82,0,0,0,1.96,4.91,0,14.72,0,0.98,0.98,7.85,0,0,0,0,0,0,0,16.69,0.98,0,0,67.73,0,0.98,0,0.98,1.96,8.83,0,0,0.98,0,1.96
 84-94,0,1.06,0,3.19,1.06,0,9.56,0,1.06,0,1.06,0,0,2.12,1.06,0,0,0,3.19,0,0,1.06,45.67,0,3.19,1.06,0,1.06,4.25,0,1.06,1.06,1.06,0
 96-106,0,5.46,0,8.74,5.46,0,20.76,2.19,0,1.09,5.46,6.56,0,2.19,1.09,0,0,1.09,13.11,0,0,1.09,60.11,0,6.56,2.19,1.09,7.65,4.37,1.09,0,4.37,2.19,3.28
108-118,0,3.06,0,4.6,4.6,0,9.96,3.83,2.3,1.53,7.66,8.43,0.77,2.3,1.53,0.77,0,2.3,7.66,0,1.53,0,96.51,0.77,1.53,0.77,0,5.36,3.83,0.77,0,0.77,3.83,1.53
120,0,0,1.96,3.92,0,3.92,9.8,1.96,0,1.96,0,1.96,0,0,0,0,1.96,0,15.68,1.96,0,3.92,66.63,1.96,1.96,0,0,3.92,7.84,0,0,1.96,3.92,0
