stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,0,1,5,0,0,0,0,2,3,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,3.28,0,2.46,68.95,0,0,1.64,0,13.13,5.75,0
 36-46,0,0,0.81,0,3.22,0,3.22,1.61,0.81,0,0.81,3.22,0,0.81,0,10.47,0,7.25,287.62,0,1.61,1.61,0,36.26,4.83,0
 48-58,0,0,0,0,11.48,0,5.74,4.02,0,0,0,3.44,0,0,0.57,7.46,0,2.3,254.77,0,0,1.15,0.57,32.71,2.3,0
 60-70,0,0,0,0.98,18.65,0,7.85,1.96,0,0,0.98,9.82,0,0.98,0,11.78,0,2.94,214.95,0.98,0,0,0,42.21,0.98,0
 72-82,0,0,0,0.98,17.67,0,13.74,1.96,0,0,0.98,6.87,0,0,0,14.72,2.94,0,108.96,0.98,0.98,0,0,9.82,2.94,0.98
 84-94,0,1.06,2.12,0,16.99,1.06,3.19,3.19,0,0,1.06,16.99,0,1.06,0,6.37,1.06,2.12,73.28,0,1.06,0,0,7.43,5.31,1.06
 96-106,0,1.09,0,3.28,7.65,0,4.37,1.09,0,0,1.09,21.86,1.09,0,0,7.65,0,1.09,52.46,0,0,2.19,0,4.37,2.19,0
108-118,0,0.77,2.3,2.3,9.96,0,0,1.53,0,0,0,11.49,0,0,0,3.06,0.77,0,49.02,1.53,0.77,0,0,0.77,1.53,0
120,0,0,0,3.92,5.88,0,3.92,1.96,1.96,0,0,13.72,0,0,0,0,0,0,39.2,0,0,1.96,0,1.96,3.92,1.96
