stage,epidermis,eye,glial,heart,melanocytes,mesenchyme,muscle,neural,notochord,otic,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0.82,0
 36-46,0,2.42,0,0,0,0,0.81,7.25,0,0.81,0.81,0.81
 48-58,0,8.61,0,0,0,0.57,0,8.03,0.57,0,2.3,0
 60-70,0,22.58,0.98,0,0,0.98,0,16.69,0,0,0,0
 72-82,0,17.67,0,0.98,0,1.96,0,44.17,0,0,0.98,0
 84-94,0,8.5,1.06,0,0,1.06,0,20.18,0,0,0,0
 96-106,0,4.37,1.09,0,0,0,0,15.3,0,0,1.09,0
108-118,0.77,3.06,0.77,0,0,0,0,19.15,0,0,0,0
120,0,0,0,0,1.96,1.96,0,19.6,0,0,0,0
