stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,13.7,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0,0.57,30.41,0,0,1.72,0,6.31,1.15,2.3,0.57,0.57,0,0,0.57,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,38.28,0,0,3.93,0,8.83,0,6.87,0.98,0.98,0,0,2.94,0.98,4.91,0
 72-82,0,0,0,0.98,0,5.89,0.98,0.98,0.98,1.96,0,49.08,0,0,2.94,0,27.49,0,4.91,1.96,4.91,0,0,7.85,0.98,14.72,0
 84-94,0,0,1.06,1.06,0,3.19,0,1.06,0,0,0,96.65,0,0,3.19,1.06,35.05,0,2.12,0,3.19,0,0,13.81,1.06,26.55,0
 96-106,0,0,0,0,0,8.74,0,0,2.19,1.09,1.09,126.77,1.09,2.19,15.3,0,37.16,0,4.37,4.37,16.39,3.28,1.09,13.11,10.93,51.36,3.28
108-118,0.77,0.77,0,1.53,0.77,5.36,0,0,0.77,3.83,0,83.49,0,0.77,9.19,0,20.68,4.6,6.13,0.77,11.49,0.77,0,3.06,7.66,22.21,3.06
120,0,0,0,1.96,0,0,0,0,0,3.92,1.96,133.27,3.92,0,11.76,0,35.28,0,9.8,1.96,5.88,0,0,5.88,9.8,35.28,3.92
