stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,1.67,0,0,5,0,0.83
3dpf,0.57,0,0.57,21.26,0,0.57
5dpf,0,0.52,0.52,7.24,0.52,0.52
10dpf,0,0,0.63,6.9,0,0
