stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
19hpf,0,0,0,0,0,0,0,2.19
24hpf,0,0,0,0,0,0,0,9
2dpf,28.36,0.83,0.83,0.83,2.5,0,2.5,124.28
3dpf,5.17,1.15,0,0.57,1.15,0,0,55.74
5dpf,5.69,0,0,1.03,6.72,0.52,0.52,131.27
10dpf,6.9,0.63,1.88,0.63,1.26,0,0.63,131.15
