stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,681.31,30.97,10.32,0,216.78,20.65,0,51.61,299.37,423.24
12hpf,807.73,77.11,9.64,59.76,379.77,117.59,1.93,233.26,352.78,418.32
14hpf,1013.19,43.47,46.81,153.82,310.98,130.41,13.38,110.35,364.48,1103.47
16hpf,539.37,63.58,45.12,162.01,280.96,137.4,26.66,106.64,270.71,959.78
19hpf,720.24,15.32,17.51,140.11,164.19,63.49,17.51,56.92,52.54,1320.08
24hpf,368,10,63,126,189,86,36,10,89,312
2dpf,707.3,6.67,85.08,159.31,375.33,710.63,132.62,25.02,201.85,504.62
3dpf,2416.38,39.08,78.15,113.21,110.91,1344.09,55.74,1.15,69.53,290.2
5dpf,346.79,52.2,202.08,263.58,74.94,846.57,106.47,50.13,123.52,905.48
10dpf,1168.47,80.95,189.51,196.42,65.26,793.2,64.01,1.88,80.32,283.02
