stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,41.29,0
12hpf,0,0,0,0,0,0,0,69.4,0
14hpf,0,0,0,0,0,0,0,317.67,0
16hpf,2.05,0,0,0,8.2,0,0,420.42,0
19hpf,0,0,0,0,6.57,0,0,205.78,0
24hpf,0,0,1,0,9,1,0,383,0
2dpf,7.51,0.83,0.83,0.83,24.19,7.51,1.67,98.42,4.17
3dpf,1.15,0,0,0,1.15,6.32,0,37.35,1.15
5dpf,5.17,0,2.58,1.55,2.58,17.06,0,106.98,9.82
10dpf,1.26,0.63,6.28,0,0.63,3.77,0,42.04,0
