stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,0,0,2
3dpf,6.32,0.57,0,0,0,0,0,8.62
5dpf,9.3,1.55,0.52,1.03,0.52,3.62,0.52,142.13
