stage,central_nervous_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,3.34,0,0.83,0.83,0
3dpf,12.64,0.57,3.45,0,0
5dpf,0.52,0,2.07,0,1.03
10dpf,4.39,0,1.26,0,0
