stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,1.67,3.34,3.34,0,0,0
3dpf,1.72,0.57,5.17,0.57,23.56,0,0,0.57
5dpf,0,0,3.62,0.52,2.58,0.52,1.55,0.52
10dpf,0.63,0,3.14,0,5.02,0,0.63,0
