stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,26.99,0,0,0,0,0,0,0,0
14hpf,33.44,0,6.69,0,0,0,0,3.34,6.69
16hpf,61.52,0,10.25,0,0,0,2.05,2.05,0
19hpf,76.62,0,26.27,0,0,0,0,0,2.19
24hpf,42,0,0,2,1,1,0,3,1
2dpf,215.19,0.83,15.01,2.5,8.34,0.83,0,1.67,5
3dpf,98.26,1.15,4.02,0,5.75,0,0,0,0.57
5dpf,142.13,2.07,10.34,0,8.79,0.52,1.03,1.55,5.17
10dpf,40.16,1.26,9.41,0,3.14,0,0,0,0.63
