stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,144.52
12hpf,11.57,1.93,0,0,0,0,0,0,36.63
14hpf,0,0,0,0,0,0,0,0,371.17
16hpf,0,0,0,0,0,0,0,0,22.56
19hpf,0,0,0,0,0,0,0,0,700.54
24hpf,1,0,0,0,0,0,0,0,117
2dpf,12.51,0,0,1.67,3.34,5,0,0.83,542.98
3dpf,39.65,16.09,0.57,0.57,1.72,14.37,0,1.15,285.6
5dpf,6.72,0,2.58,3.62,1.03,15.5,1.55,4.13,933.91
10dpf,15.69,4.39,1.26,1.88,0.63,15.69,0.63,0.63,301.22
