stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
19hpf,0,0,0,0,0,0,0,0,52.54
2dpf,5,0,0,1.67,3.34,0.83,0.83,0.83,386.18
3dpf,2.3,0,0,0,0,0.57,0,0,74.7
5dpf,0.52,0.52,1.03,0.52,0,0,0,0,42.38
10dpf,0,1.88,0.63,0.63,0,0,0,0,38.28
