stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,0.83,0,3.34
3dpf,2.3,0.57,0,0,0.57
5dpf,0,0,0,1.03,0
10dpf,2.51,0,0,0.63,1.26
