stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,2.5,0,0,0,1.67,0.83,0,0
3dpf,37.93,0.57,0,0,4.02,0,0,0.57
5dpf,1.03,0,0.52,0.52,3.62,1.03,0.52,2.58
10dpf,27.61,0,0.63,0.63,2.51,0.63,0,0
