stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,185.81,0,0,0,0,0,0,0,0
12hpf,94.46,0,0,0,0,0,0,0,0
14hpf,371.17,0,0,0,0,0,0,0,6.69
16hpf,217.39,0,0,2.05,0,0,0,6.15,8.2
19hpf,477.24,0,0,0,0,0,0,0,2.19
24hpf,346,0,1,0,2,0,0,5,4
2dpf,108.43,0.83,2.5,0.83,5,16.68,3.34,3.34,6.67
3dpf,466.61,0,2.87,0,0,5.75,0,0.57,0.57
5dpf,45.48,1.55,1.55,4.65,0.52,18.61,2.58,4.65,11.89
10dpf,220.26,1.26,0.63,0.63,0,5.65,3.77,1.88,1.26
