stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
3dpf,1.15,0,0.57,0,0.57
5dpf,0,0.52,2.58,0.52,0.52
10dpf,1.26,0,1.26,0,0
