stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,10.32,0,0,0,10.32,20.65
12hpf,11.57,0,0,0,7.71,1.93,0,1.93,3.86,17.35
14hpf,13.38,0,6.69,0,0,3.34,0,0,3.34,10.03
16hpf,18.46,0,0,0,4.1,4.1,0,0,4.1,8.2
19hpf,24.08,0,0,2.19,2.19,0,0,0,0,4.38
24hpf,41,0,1,0,15,9,2,0,10,5
2dpf,241.05,4.17,7.51,40.04,121.78,211.02,20.85,2.5,47.54,95.08
3dpf,864.27,3.45,14.37,13.79,13.79,322.38,6.32,0,14.37,28.73
5dpf,98.71,10.34,47.03,46,22.74,238.77,17.06,12.4,40.31,143.68
10dpf,353.3,6.28,43.93,30.12,15.69,210.22,10.67,0.63,21.34,31.38
