stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,5.78,0,0,0,0,0,0,1.93,0
14hpf,33.44,0,0,10.03,0,0,0,3.34,6.69
16hpf,20.51,0,0,16.41,0,0,0,2.05,2.05
19hpf,45.97,0,0,19.7,0,0,0,0,0
24hpf,64,0,0,0,0,0,1,2,3
2dpf,206.85,0,0.83,20.02,5,20.85,0.83,5,2.5
3dpf,60.34,0,1.15,2.3,0,10.34,0,0,0
5dpf,119.9,1.03,1.03,12.4,2.07,14.47,0.52,4.13,7.75
10dpf,34.51,1.26,0.63,3.14,0,5.02,0,1.26,3.14
