stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
24hpf,0,1,1,0
2dpf,0,2.5,5.84,0.83
3dpf,0,3.45,2.87,0
5dpf,0.52,13.44,2.58,0
10dpf,0,1.88,0,0
