stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,10.32,0,0,0,0,0,0,0
12hpf,0,1.93,0,0,5.78,0,0,0,1.93
14hpf,3.34,0,0,0,20.06,0,0,0,53.5
16hpf,0,0,0,0,6.15,2.05,0,0,10.25
19hpf,4.38,0,0,0,43.78,0,2.19,0,26.27
24hpf,1,3,0,0,44,0,2,1,3
2dpf,13.35,0,0,0.83,2.5,3.34,1.67,3.34,1.67
3dpf,232.73,5.75,0.57,0,0.57,22.41,0.57,2.87,1.15
5dpf,13.44,1.03,2.07,1.55,0,20.67,1.03,7.24,6.2
10dpf,60.24,0.63,0,0,0,12.55,1.26,1.88,0.63
