stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,5,0,0,0,0,0,0
3dpf,41.95,0,0,0,0,0,0
5dpf,2.58,0,0.52,0,0.52,0,1.03
10dpf,20.71,0.63,0,1.26,0,0.63,0
