stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,330.33,0,0,0,123.88,0,0,10.32,72.26,268.4
12hpf,53.98,5.78,0,5.78,7.71,0,0,5.78,15.42,52.05
14hpf,147.13,6.69,33.44,20.06,30.09,0,6.69,3.34,43.47,50.16
16hpf,67.68,10.25,22.56,8.2,18.46,14.36,0,0,59.47,26.66
19hpf,126.97,0,2.19,8.76,19.7,0,0,0,8.76,19.7
24hpf,52,0,50,8,19,7,4,0,22,11
2dpf,286.92,5.84,44.21,85.08,110.1,236.04,45.87,11.68,95.92,162.64
3dpf,1070.56,10.34,49.99,35.05,38.5,409.72,17.24,0,29.88,84.47
5dpf,110.6,14.47,62.02,67.7,18.09,241.36,23.26,22.22,60.99,237.22
10dpf,385.93,16.94,120.49,53.97,13.18,140.57,16.94,0.63,37.65,78.44
