stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,10.32,0,0,0,0,10.32
12hpf,5.78,0,0,0,1.93,0,0,0,1.93,1.93
14hpf,50.16,0,0,3.34,3.34,0,0,0,6.69,16.72
16hpf,26.66,0,18.46,0,6.15,0,0,0,12.3,16.41
19hpf,41.59,2.19,8.76,0,2.19,0,0,0,2.19,4.38
24hpf,16,1,17,5,5,0,1,0,4,8
2dpf,77.57,1.67,35.03,23.35,34.2,41.7,11.68,2.5,30.86,106.76
3dpf,225.84,10.92,45.4,13.22,16.09,86.2,8.05,0,10.92,59.76
5dpf,101.3,29.46,136.44,55.82,31.53,286.84,22.22,4.65,70.29,371.08
10dpf,320.67,35.77,118.6,39.53,16.32,232.19,11.3,0.63,51.46,73.42
